date,open,high,low,close,ID,ticker
8/24/17,27.18,27.27,27.05,27.1,4017921,FOXA
8/24/17,26.67,26.8,26.57,26.61,1574354,FOX
8/24/17,127.96,129.73,126.69,126.86,587163,FRT
8/24/17,25.55,25.57,25.17,25.17,1866667,FTI
8/24/17,65.12,65.34,64.63,64.88,1167335,FTV
8/24/17,10.75,10.8,10.69,10.71,33584388,F
8/24/17,200.22,200.27,198.7463,199.47,723525,GD
8/24/17,24.43,24.54,24.3,24.3,25547869,GE
8/24/17,21.36,21.62,20.71,20.75,6236691,GGP
8/24/17,73.81,74.3,73.65,74.02,4929321,GILD
8/24/17,57.39,57.45,55.63,55.68,4606488,GIS
8/24/17,28.53,28.65,28.43,28.56,6384493,GLW
8/24/17,35.64,35.73,35.45,35.52,4955524,GM
8/24/17,943.71,946.31,930.74,936.89,1294559,GOOGL
8/24/17,928.66,930.84,915.5,921.28,1270306,GOOG
8/24/17,82.96,83.31,82.21,82.48,665710,GPC
8/24/17,94.74,94.97,94.05,94.26,464316,GPN
8/24/17,23.57,24.01,23.22,23.31,6441905,GPS
8/24/17,52.07,52.728,51.93,52.18,1297821,GRMN
8/24/17,223.77,224.565,222.59,222.99,2263028,GS
8/24/17,29.86,30.105,29.73,29.96,2133686,GT
8/24/17,161.88,162.635,158.12,158.33,715017,GWW
8/24/17,38.97,39,38.565,38.79,7345872,HAL
8/24/17,94.17,95.4,94.06,95.05,1824855,HAS
8/24/17,12.72,12.76,12.635,12.7,4900230,HBAN
8/24/17,23.77,24.06,23.63,23.85,2631971,HBI
8/24/17,79.11,79.67,78.89,79.26,1412595,HCA
8/24/17,71.51,71.98,71.31,71.41,1510262,HCN
8/24/17,29.47,29.7,29.33,29.41,3109627,HCP
8/24/17,149.73,150.6,147.98,148.25,3736039,HD
8/24/17,38.65,38.775,38.2,38.36,2012993,HES
8/24/17,55.28,55.37,54.61,54.63,1739042,HIG
8/24/17,207.38,209.6,206.53,209.37,200369,HII
8/24/17,63.47,63.72,62.84,62.91,1445763,HLT
8/24/17,46.97,47.75,46.97,47.2,1573123,HOG
8/24/17,37.24,37.59,37.11,37.54,4864663,HOLX
8/24/17,136.63,137.05,136.185,136.54,1920444,HON
8/24/17,17.72,18.06,17.66,17.95,6636112,HPE
8/24/17,18.83,19.78,18.83,19.41,27375516,HPQ
8/24/17,44.41,44.71,44.04,44.19,1888405,HP
8/24/17,30.11,30.6,30.11,30.44,1969230,HRB
8/24/17,31.61,32.35,30.86,32.09,10569189,HRL
8/24/17,119.32,119.53,118.74,118.84,339552,HRS
8/24/17,85.37,86.465,85.345,85.53,1425922,HSIC
8/24/17,17.72,17.85,17.56,17.6,5565114,HST
8/24/17,106.67,107.78,105.49,105.52,2298937,HSY
8/24/17,254.13,255.91,253.46,255.67,1025306,HUM
8/24/17,142.5,143.68,142.25,142.94,3592183,IBM
8/24/17,65.6,65.67,64.45,64.7,1515240,ICE
8/24/17,153.5,154.55,152.29,152.57,424594,IDXX
8/24/17,135.61,135.87,135.11,135.23,181388,IFF
8/24/17,193.2,194.6,191.43,193.96,613071,ILMN
8/24/17,124.15,124.41,122.47,123.82,703808,INCY
8/24/17,46.41,46.76,46.29,46.56,1330281,INFO
8/24/17,34.7,34.89,34.55,34.71,14301892,INTC
8/24/17,135.27,135.8,133.71,135.33,1944156,INTU
8/24/17,19.68,20.14,19.64,19.99,11508934,IPG
8/24/17,53.59,53.95,53.31,53.89,1635162,IP
8/24/17,94.55,95.45,94.18,95.11,1461641,IQV
8/24/17,38.37,38.8,38.17,38.53,1276366,IRM
8/24/17,84.59,84.79,83.61,83.77,1551082,IR
8/24/17,328.9863,330.5397,327.733,330.193,693438,ISRG
8/24/17,136.75,136.91,135.7,135.87,740922,ITW
8/24/17,119.04,119.21,118.61,118.74,374967,IT
8/24/17,32.95,32.95,32.39,32.58,2279366,IVZ
8/24/17,97.17,97.5,96.3,96.56,784065,JBHT
8/24/17,38.64,38.84,38.43,38.59,5425734,JCI
8/24/17,51.43,51.7,51.2391,51.33,780328,JEC
8/24/17,132.82,133.08,132.27,132.89,5398432,JNJ
8/24/17,27.44,27.5,27.34,27.44,1932334,JNPR
8/24/17,91.93,92.12,91.41,91.52,8623165,JPM
8/24/17,45.21,45.42,43.705,43.82,1771053,JWN
8/24/17,17.74,17.8,17.575,17.64,8795601,KEY
8/24/17,84.5,84.59,82.69,82.8,3438057,KHC
8/24/17,19.94,20.31,19.52,19.6,3696747,KIM
8/24/17,91.71,91.86,89.8497,90.3,936205,KLAC
8/24/17,122.36,122.485,120.96,120.99,1170938,KMB
8/24/17,19.01,19.12,18.9,19.05,7708403,KMI
8/24/17,64.63,65.03,63.67,63.73,889234,KMX
8/24/17,42.05,42.575,41.51,41.79,2085406,KORS
8/24/17,45.54,45.61,45.31,45.41,7534364,KO
8/24/17,23,23.25,21.06,21.1,39085958,KR
8/24/17,38.93,39.55,38.24,38.45,3498082,KSS
8/24/17,106,106.27,104.36,104.58,1036153,KSU
