date,close,volume,open,high,low
7/25/14,197.72,76774590,198.09,198.26,197.33
7/28/14,197.8,69081970,197.76,198.09,196.62
7/29/14,196.95,80364470,198.17,198.45,196.92
7/30/14,196.98,104066800,197.65,197.91,196.16
7/31/14,193.09,182368000,195.61,195.78,192.97
8/1/14,192.5,189017400,192.56,193.76,191.57
8/4/14,193.89,90973750,192.87,194.3,192.05
8/5/14,192.01,152514900,193.1,193.6,191.31
8/6/14,192.07,94623780,191.11,192.89,191.08
8/7/14,191.03,135504400,192.935,193.13,190.55
8/8/14,193.24,114867300,191.46,193.37,190.95
8/11/14,193.795,74426250,193.965,194.66,193.71
8/12/14,193.53,73575610,193.61,194.15,192.94
8/13/14,194.84,68917050,194.29,195.06,193.96
8/14/14,195.76,57192040,195.16,195.76,194.98
8/15/14,195.72,139865800,196.47,196.65,194.31
8/18/14,197.36,75133430,196.8,197.45,196.69
8/19/14,198.39,58938860,197.84,198.54,197.4426
8/20/14,198.92,72595130,198.12,199.16,198.08
8/21/14,199.5,67740270,199.09,199.76,198.93
8/22/14,199.19,76052890,199.34,199.69,198.74
8/25/14,200.2,63788690,200.14,200.5949,199.1502
8/26/14,200.33,47244660,200.33,200.82,200.28
8/27/14,200.25,47782100,200.43,200.57,199.94
8/28/14,200.14,58143490,199.59,200.27,199.39
8/29/14,200.71,65878360,200.45,200.73,199.82
9/2/14,200.61,71399620,200.97,200.995,199.86
9/3/14,200.5,57371000,201.38,201.41,200.22
9/4/14,200.2101,84993660,200.84,201.58,199.66
9/5/14,201.11,102010300,200.17,201.19,199.41
9/8/14,200.59,64103050,200.92,201.21,200
9/9/14,199.32,88480030,200.41,200.55,198.91
9/10/14,200.07,67150040,199.43,200.2,198.77
9/11/14,200.3,66733800,199.27,200.33,199.12
9/12/14,199.13,117403300,200.1,200.12,198.56
9/15/14,198.981,76350030,199.16,199.32,198.38
9/16/14,200.48,116039000,198.61,200.84,198.5
9/17/14,200.75,149647200,200.77,201.68,199.75
9/18/14,201.82,94415600,201.36,201.85,201.1
9/19/14,200.7,121373900,201.52,201.899,200.29
9/22/14,199.15,125341100,200.35,200.38,198.73
9/23/14,198.01,111103600,198.43,199.26,197.95
9/24/14,199.56,107098000,198.04,199.69,197.52
9/25/14,196.34,149990800,199.04,199.05,196.27
9/26/14,197.9,103503900,196.7,198.39,196.42
9/29/14,197.54,95061580,196.2,197.89,196.05
9/30/14,197.02,129887300,197.69,198.3,196.61
10/1/14,194.35,177602400,196.7,196.77,193.91
10/2/14,194.38,157161800,194.18,195.055,192.35
10/3/14,196.52,120932900,195.68,196.94,195.08
10/6/14,196.29,104721100,197.34,197.6,195.582
10/7/14,193.26,147546700,195.28,195.72,193.22
10/8/14,196.64,186038800,193.37,196.92,192.36
10/9/14,192.74,209904000,196.33,196.6,192.58
10/10/14,190.54,221531600,192.69,193.65,190.49
10/13/14,187.4099,221938600,190.46,191.15,187.3
10/14/14,187.7,215226000,188.42,189.82,187.04
10/15/14,186.43,379972000,185.16,187.694,181.92
10/16/14,186.27,270110200,183.06,187.58,182.89
10/17/14,188.47,214147600,188.42,189.75,187.62
10/20/14,190.3,129429000,188.13,190.45,188.07
10/21/14,194.07,153368100,191.68,194.2,191.48
10/22/14,192.69,151377900,194.41,194.91,192.61
10/23/14,194.93,153664900,194.62,196.2,194.26
10/24/14,196.43,116715200,195.25,196.49,194.49
10/27/14,196.16,82747540,195.73,196.45,195.03
10/28/14,198.41,105847800,196.82,198.42,196.73
10/29/14,198.11,142224000,198.55,199.12,196.8
10/30/14,199.38,112825200,197.58,199.95,197.4
10/31/14,201.66,146697400,201.78,201.82,200.77
11/3/14,201.77,93478670,201.92,202.45,201.305
11/4/14,201.07,93082060,201.23,201.6,200.06
11/5/14,202.34,91466110,202.54,202.59,201.45
11/6/14,203.15,106715600,202.39,203.26,201.64
11/7/14,203.34,89443040,203.17,203.5999,202.61
11/10/14,203.98,65897370,203.38,204.04,203.13
11/11/14,204.175,54294510,204.055,204.31,203.65
11/12/14,203.96,89957030,203.35,204.24,203.31
11/13/14,204.19,84981760,204.16,204.83,203.21
11/14/14,204.24,80310420,204.1,204.49,203.72
11/17/14,204.37,80373860,203.85,204.58,203.65
