date,close,volume,open,high,low,,
3/26/19,281.12,67884060,280.99,282.18,279.56,2019-04-12T03:00:00.000+03:00,_Oxygen - Single by Jackson Wang on Apple Music
3/25/19,279.04,84898680,278.87,280.1853,277.64,2019-04-13T15:33:00.000+03:00,Photos: Saying farewell to the third oldest Apple Store in the world
3/22/19,279.25,122400900,283.22,283.8034,279.18,2019-04-13T20:25:00.000+03:00,From Macintosh to Granny Smith: The rise and fall of Apple
3/21/19,284.73,79394020,280.64,285.18,280.59,2019-04-14T11:48:00.000+03:00,If You Purchased $100 of Apple in 2002
3/20/19,281.55,84349430,282.16,283.5,280.32,2019-04-14T13:03:00.000+03:00,iMovie - Apple
3/19/19,282.4,90060530,283.51,284.36,281.41,2019-04-14T13:03:00.000+03:00,Pages - Apple
3/18/19,282.33,61813150,281.55,282.66,281.3,2019-04-14T13:03:00.000+03:00,Keynote - Apple
3/15/19,281.31,80558110,280.54,282.21,280.33,2019-04-14T13:03:00.000+03:00,Numbers - Apple
3/14/19,281.16,67354180,281.37,281.84,280.6662,2019-04-14T03:00:00.000+03:00,Best Apple Watch tips and tricks to make your life easier - Business Insider
3/13/19,281.34,80111580,280.48,282.38,280.3,2019-04-14T16:01:00.000+03:00,The 20 best Apple Watch tips and tricks to make your life easier
3/12/19,279.49,79432230,279.06,280.07,278.85,2019-04-14T20:00:00.000+03:00,The 20 best Apple Watch tips and tricks to make your life easier
3/11/19,278.44,64752480,275.26,278.62,275.23,2019-04-15T03:00:00.000+03:00,Apple Inc.: Foxconn Is poised to begin mass production of iPhones in India - The Economic Times
3/8/19,274.46,85634780,272.94,274.65,272.42,2019-04-15T19:52:00.000+03:00,Huawei _e prodavati 5G _ipove Apple-u?
3/7/19,275.01,94692650,276.83,276.99,274.07,2019-04-15T03:00:00.000+03:00,Apple Watch fall detection sent help to an 80-year-old woman - 9to5Mac
3/6/19,277.33,74824560,279.15,279.16,276.97,2019-04-15T22:00:00.000+03:00,"Apple, Google và Netflix gi_ _ây không còn yêu c_u nhân viên ph_i có b_ng __i h_c n_a, _i_u này c_ng s_ s_m tr_ thành chu_n m_c"
3/5/19,279.02,58813100,279.54,279.76,278.41,2019-04-15T15:06:00.000+03:00,Apple to shift mass production of iPhones from China to India: Report
3/4/19,279.4,106181700,281.6,281.87,276.84,2019-04-15T22:39:00.000+03:00,Amazon workers reportedly listen to what you tell Alexa — here's how Apple and Google handle what you say to their voice assistants
3/1/19,280.42,77586110,280.44,280.88,278.82,2019-04-15T19:18:00.000+03:00,"When is the next Apple event, and what should we expect?"
2/28/19,278.68,69048080,278.96,279.45,278.32,2019-04-16T00:37:00.000+03:00,The big question hanging over Tim Cook's tenture at Apple
2/27/19,279.2,56131350,278.52,279.59,277.48,2019-04-16T01:22:00.000+03:00,"AN UNLIKELY REVOLUTIONARY: How Tristan Harris went from working at Apple and Google to consulting with heads of state about how to reform Silicon Valley (FB, GOOGL)"
2/26/19,279.32,56491990,279.13,280.3,278.9,2019-04-16T03:00:00.000+03:00,"TikTok: SC stay on ban, government asks Apple & Google to take down TikTok app - The Economic Times"
2/25/19,279.52,68642630,280.73,281.31,279.43,2019-04-16T01:22:00.000+03:00,AN UNLIKELY REVOLUTIONARY: How Tristan Harris went from working at Apple and Google to consulting with heads of state about how to reform Silicon Valley
2/22/19,279.14,77132070,278.11,279.36,277.4029,2019-04-16T03:23:00.000+03:00,Apple to build new campus in Austin and add jobs across the US - Apple
2/21/19,277.42,63984460,277.7,278.1,276.345,2019-04-15T22:07:00.000+03:00,"Why are Apple Pay, Starbucks’ app, and Samsung Pay so much more successful than other wallet providers?"
2/20/19,278.41,76479570,277.81,278.92,277.25,2019-04-16T03:00:00.000+03:00,"TikTok: SC stay on ban, government asks Apple & Google to take down TikTok app"
2/19/19,277.85,58802310,276.481,278.58,276.47,2019-04-16T03:00:00.000+03:00,TiK ToK: Central Government direct to google and apple to delete tik tok app from play store - ____ __________ Tik Tok ___ _____ ________ ______ _______
2/15/19,277.37,96744830,276.36,277.41,276.13,2019-04-16T03:00:00.000+03:00,"Apple will help rebuild Notre-Dame Cathedral, according to Tim Cook - Business Insider"
2/14/19,274.38,82409970,273.78,275.64,272.87,2019-04-16T18:14:00.000+03:00,Apple rumored to add official iPad external display support in macOS 10.15
2/13/19,274.99,64930780,275.03,275.93,274.56,2019-04-16T17:48:00.000+03:00,Apple will donate money to rebuild Notre Dame
2/12/19,274.1,71990420,272.42,274.52,272.34,2019-04-16T17:09:00.000+03:00,"Apple will help rebuild Notre-Dame Cathedral after its massive fire, according to CEO Tim Cook"
2/11/19,270.62,67807910,271.2,271.49,270.03,2019-04-16T18:56:00.000+03:00,The Apple-Qualcomm Courtroom Showdown Kicks Off - WSJ
2/8/19,270.47,75742440,268.75,270.58,267.83,2019-04-16T03:00:00.000+03:00,Bed bugs force Apple to temporarily close 24-hour Fifth Avenue store
,,,,,,2019-04-16T03:00:00.000+03:00,Qualcomm stock price: Apple litigation is dropped - Business Insider
,,,,,,2019-04-16T22:13:00.000+03:00,Apple and Qualcomm drop all lawsuits in surprise settlement - The Verge
,,,,,,2019-04-16T11:45:00.000+03:00,"Qualcomm is soaring after agreeing with Apple to drop all litigation (QCOM, AAPL)"
,,,,,,2019-04-16T03:00:00.000+03:00,Qualcomm and Apple agree to drop all litigation - Apple
,,,,,,2019-04-17T03:25:00.000+03:00,"Apple iMac review: Unchanged on the outside, big improvements inside"
,,,,,,2019-04-16T22:39:00.000+03:00,Qualcomm is soaring after agreeing with Apple to drop all litigation
,,,,,,2019-04-16T03:00:00.000+03:00,"Intel will exit 5G modem business, hours after Apple, Qualcomm settle - CNET"
,,,,,,2019-04-17T03:51:00.000+03:00,Intel says it will exit the 5G phone business as Apple and Qualcomm strike multiyear deal
,,,,,,2019-04-17T03:38:00.000+03:00,Intel se rinde y abandona definitivamente el desarrollo de módems 5G para smartphones tras el acuerdo entre Apple y Qualcomm
,,,,,,2019-04-17T01:53:00.000+03:00,Llega el nuevo teléfono chino que supera en rendimiento a los nuevos moviles de Apple y Samsung
,,,,,,2019-04-16T03:00:00.000+03:00,TikTok:Indian Government Directs Google & Apple To De-List The TikTok App Until Madras HC Hearing - Indiatimes.com
,,,,,,2019-04-17T03:00:00.000+03:00,TikTok: Apple and Google block video sharing app in India - BBC News
,,,,,,2019-04-17T08:06:00.000+03:00,"Apple, Google Block TikTok in India After Court Order"
,,,,,,2019-04-17T06:35:00.000+03:00,TikTok: Apple and Google block video sharing app in India
,,,,,,2019-04-17T03:00:00.000+03:00,"TikTok vanishes from Google, Apple app stores in India after ban"
